feature,clip_percentile,gs_raw,gs_clipped,clip_threshold,bias_bound,relative_bias_pct,noise_reduction
srv_count,99.5,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
serror_rate,90.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
serror_rate,95.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
serror_rate,99.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
serror_rate,99.5,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
srv_serror_rate,90.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
srv_serror_rate,95.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
srv_serror_rate,99.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
srv_serror_rate,99.5,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
rerror_rate,90.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
rerror_rate,95.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
rerror_rate,99.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
rerror_rate,99.5,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
srv_rerror_rate,90.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
srv_rerror_rate,95.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
srv_rerror_rate,99.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
srv_rerror_rate,99.5,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
same_srv_rate,90.0,7.938208981289641e-06,5.55674628690275e-07,0.07,0.08984544307113429,142.49275771031597,14.285714285714283
same_srv_rate,95.0,7.938208981289641e-06,2.302080604573996e-06,0.29,0.035355433307137245,56.072884942961856,3.4482758620689653
same_srv_rate,99.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
same_srv_rate,99.5,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
diff_srv_rate,90.0,7.938208981289641e-06,2.460844784199789e-06,0.31,0.0688723774142078,70.76778766547851,3.225806451612903
diff_srv_rate,95.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
diff_srv_rate,99.0,7.938208981289641e-06,7.938208981289641e-06,1.0,0.0,0.0,1.0
