feature,mechanism,epsilon,global_sensitivity,local_sensitivity,post_mean_error,post_std_error,agg_mean_error,agg_std_error,shuffle_mean_error,shuffle_std_error,noise_variance
wrong_fragment,gaussian,5.0,2.3814626943868923e-05,2.3813744731603294e-05,2.0834502496534248e-05,1.53891198195903e-05,1.8035227006083282e-05,1.4204013645479984e-05,8.889297517467974e-05,2.619997099525089e-07,5.324762075879357e-10
urgent,laplace,0.1,0.0006112420915593024,0.0006096194511421637,0.00593280346755408,0.005572635370467413,0.0077223424034262534,0.007317070860770405,0.018806201785291445,0.00010608008480205069,7.472337889875811e-05
urgent,laplace,0.3,0.0006112420915593024,0.0006096194511421637,0.0016171913653320444,0.001040068131016238,0.0024142626059404713,0.0019292684369161919,0.018812406110689742,4.408844743349609e-05,8.30259765541757e-06
urgent,laplace,0.5,0.0006112420915593024,0.0006096194511421637,0.0015037015094131634,0.0012885444729619586,0.0013815124210733729,0.0011831948736342828,0.01881663853853498,2.115633225794136e-05,2.9889351559503244e-06
urgent,laplace,1.0,0.0006112420915593024,0.0006096194511421637,0.00058311539545876,0.0005140346048938163,0.0007195143990393773,0.0007510912121700169,0.018814148185755268,1.1863894865334915e-05,7.472337889875811e-07
urgent,laplace,2.0,0.0006112420915593024,0.0006096194511421637,0.000402688362359277,0.0003588650963926672,0.0002415234162676888,0.00020132230542327958,0.018808811145168976,6.6544396318390485e-06,1.8680844724689528e-07
urgent,laplace,5.0,0.0006112420915593024,0.0006096194511421637,0.00012411811103620236,0.00011136040989842059,0.0001151868263123986,0.00010297860494153244,0.018808951147132425,2.5045611505611564e-06,2.9889351559503246e-08
urgent,gaussian,0.1,0.0006112420915593024,0.0006096194511421637,0.022941889450074835,0.021062545626765745,0.02708159238314633,0.022546237921980065,0.01873279971225937,0.0004185846627125849,0.0008769587318857972
urgent,gaussian,0.3,0.0006112420915593024,0.0006096194511421637,0.007295487196464173,0.005607055303591066,0.0089205001763251,0.007898680573055764,0.018833917138427272,0.00011860833036014016,9.743985909842195e-05
urgent,gaussian,0.5,0.0006112420915593024,0.0006096194511421637,0.005329711810938929,0.0037259262391996194,0.0051484648362727726,0.0032599674578544604,0.01882760380724707,9.127448755564484e-05,3.507834927543189e-05
urgent,gaussian,1.0,0.0006112420915593024,0.0006096194511421637,0.0021282606587548158,0.00224195042962788,0.0016343460271237861,0.0014782327398577828,0.018799484069889644,4.2723869808198284e-05,8.769587318857973e-06
urgent,gaussian,2.0,0.0006112420915593024,0.0006096194511421637,0.0013087016282759202,0.0009718325952510662,0.001394288462938234,0.0007001659851346446,0.018812469432641244,2.0401106309675984e-05,2.1923968297144933e-06
urgent,gaussian,5.0,0.0006112420915593024,0.0006096194511421637,0.0005344441510660334,0.0004355024395106666,0.0003728272265431274,0.00033719824955162847,0.018808735918471188,8.83688735619763e-06,3.507834927543189e-07
hot,laplace,0.1,3.9691044906448206e-05,3.968134057152629e-05,0.00036657342385187545,0.00038595264200271846,0.0003759313742799163,0.00038929243421662784,2.3590651029143575e-05,7.1123126926503e-06,3.150758091531376e-07
hot,laplace,0.3,3.9691044906448206e-05,3.968134057152629e-05,0.00011696820127918181,0.00011325690343041665,0.0001113818139519962,9.23872449951389e-05,2.254536770010561e-05,2.389542874398722e-06,3.500842323923751e-08
hot,laplace,0.5,3.9691044906448206e-05,3.968134057152629e-05,9.238555791507216e-05,0.00010585748248240886,0.00010754953513378556,0.00011461328563304878,2.2636246449237728e-05,1.3376833796722442e-06,1.2603032366125504e-08
hot,laplace,1.0,3.9691044906448206e-05,3.968134057152629e-05,3.63379328030105e-05,3.181380511032734e-05,3.316500361563739e-05,3.2854156776632936e-05,2.2557782907746087e-05,8.075062009704472e-07,3.150758091531376e-09
hot,laplace,2.0,3.9691044906448206e-05,3.968134057152629e-05,2.130317114030552e-05,1.8232479347510023e-05,3.077994381223443e-05,2.3875451947714524e-05,2.24644069374655e-05,4.118994139921595e-07,7.87689522882844e-10
hot,laplace,5.0,3.9691044906448206e-05,3.968134057152629e-05,9.207178189560851e-06,7.44721869991299e-06,5.787171597439536e-06,6.1628489768480455e-06,2.247233790261486e-05,1.7467287526376637e-07,1.2603032366125505e-10
hot,gaussian,0.1,3.9691044906448206e-05,3.968134057152629e-05,0.0013990665411228642,0.0014333350156978159,0.001603461463343941,0.0012261686439834364,2.7822312871331875e-05,2.144560621725222e-05,3.697751441582886e-06
